chrom	chromStart	chromEmd	accurate_result
chr1	52800000	52940000	0.9999969005584717
chr1	53200000	53340000	1.0
chr1	53400000	53540000	1.0
chr1	54100000	54240000	0.9628412127494812
chr1	55000000	55140000	1.0
chr1	55300000	55440000	1.0
chr1	55600000	55740000	0.9999656677246094
chr1	55800000	55940000	0.9999861717224121
chr1	55900000	56040000	0.9999898672103882
chr1	56100000	56240000	0.9999579787254333
chr1	56400000	56540000	0.9999586343765259
chr1	56600000	56740000	0.9992154836654663
chr1	56700000	56840000	1.0
chr1	57100000	57240000	1.0
